transaction_date,description,credit,debit,closing_balance,ref_no,account
2025-10-01T00:00:00,CREDIT SALARY ABC CORP,123417.0,0.0,198417.0,SBIN655773239,1029384756473483
2025-10-01T00:00:00,BANK INTEREST ACCRUED,109.69,0.0,198526.69,SBIN698219,1029384756473483
2025-10-01T00:00:00,BOOKMYSHOW TICKET #12890,0.0,774.28,197752.41,SBIN534775,1029384756473483
2025-10-01T00:00:00,AMAZON PURCHASE #351029,0.0,4090.3,193662.11,SBIN221863,1029384756473483
2025-10-01T00:00:00,UBER RIDE #166334,0.0,311.09,193351.02,SBIN981697,1029384756473483
2025-10-01T12:00:00,FLIPKART ORDER #364726,0.0,4160.04,189190.98,SBIN477356,1029384756473483
2025-10-01T12:00:00,ATM TRANSACTION FEE,0.0,47.55,189143.43,SBIN668843,1029384756473483
2025-10-01T12:00:00,RELIANCE SMART #80660,0.0,2460.59,186682.84,SBIN737635,1029384756473483
2025-10-01T12:00:00,AIRTEL BROADBAND,0.0,2347.93,184334.91,SBIN134324,1029384756473483
2025-10-01T12:00:00,NETFLIX SUBSCRIPTION,0.0,785.16,183549.75,SBIN586809,1029384756473483
2025-10-01T12:00:00,STEAM GAME PURCHASE,0.0,1149.59,182400.16,SBIN339510,1029384756473483
2025-10-01T12:00:00,SAVINGS INTEREST CREDIT,126.89,0.0,182527.05,SBIN721659,1029384756473483
2025-10-01T12:00:00,AMAZON PURCHASE #449805,0.0,3126.46,179400.59,SBIN480360,1029384756473483
2025-10-02T00:00:00,BANK CHARGE SMS FEE,0.0,28.33,179372.26,SBIN810691,1029384756473483
2025-10-02T00:00:00,UBER EATS #990064,0.0,792.1,178580.15,SBIN216465,1029384756473483
2025-10-02T00:00:00,APOLLO PHARMACY #871084,0.0,1410.28,177169.87,SBIN383721,1029384756473483
2025-10-02T00:00:00,BIGBASKET GROCERY #443352,0.0,1985.26,175184.61,SBIN620919,1029384756473483
2025-10-02T00:00:00,AIRTEL BROADBAND,0.0,1217.9,173966.71,SBIN338182,1029384756473483
2025-10-02T00:00:00,STEAM GAME PURCHASE,0.0,1354.2,172612.51,SBIN354278,1029384756473483
2025-10-02T00:00:00,MYNTRA FASHION #897476,0.0,966.14,171646.37,SBIN445340,1029384756473483
2025-10-02T00:00:00,DMART BILL #298168,0.0,1334.9,170311.46,SBIN205312,1029384756473483
2025-10-02T12:00:00,BIGBASKET GROCERY #173585,0.0,1246.38,169065.08,SBIN110295,1029384756473483
2025-10-02T12:00:00,SPOTIFY PREMIUM,0.0,620.73,168444.35,SBIN399975,1029384756473483
2025-10-02T12:00:00,RENT TRANSFER,0.0,24523.33,143921.02,SBIN551217,1029384756473483
2025-10-02T12:00:00,AMAZON PURCHASE #552380,0.0,5823.74,138097.29,SBIN567662,1029384756473483
2025-10-02T12:00:00,SWIGGY-ORDER#209551,0.0,1073.19,137024.1,SBIN721983,1029384756473483
2025-10-03T00:00:00,RENT PAYMENT,0.0,25021.81,112002.29,SBIN500274,1029384756473483
2025-10-03T00:00:00,DOMINOS #840582,0.0,734.32,111267.97,SBIN341757,1029384756473483
2025-10-03T00:00:00,UPI-RENT-XYZ,0.0,26294.6,84973.37,UPI-REF-873286,1029384756473483
2025-10-03T00:00:00,RENT TRANSFER,0.0,38625.36,46348.0,SBIN691881,1029384756473483
2025-10-03T00:00:00,BANK SERVICE FEE,0.0,11.09,46336.92,BANK-REF-6243,1029384756473483
2025-10-03T12:00:00,AIRTEL BROADBAND,0.0,2887.1,43449.81,SBIN142934,1029384756473483
2025-10-03T12:00:00,DOMINOS #277531,0.0,1174.59,42275.22,SBIN231033,1029384756473483
2025-10-03T12:00:00,PVR CINEMAS #662688,0.0,230.68,42044.54,SBIN179433,1029384756473483
2025-10-03T12:00:00,BOOKMYSHOW TICKET #366032,0.0,557.94,41486.61,SBIN763567,1029384756473483
2025-10-03T12:00:00,RENT TRANSFER,0.0,18625.71,22860.9,SBIN644920,1029384756473483
2025-10-03T12:00:00,RELIANCE SMART #921734,0.0,2285.74,20575.16,SBIN212590,1029384756473483
2025-10-04T00:00:00,SERVICE CHARGE,0.0,14.14,20561.02,SBIN691725,1029384756473483
2025-10-04T00:00:00,SERVICE CHARGE,0.0,31.02,20530.0,SBIN986549,1029384756473483
2025-10-04T00:00:00,ATM TRANSACTION FEE,0.0,15.36,20514.64,SBIN878155,1029384756473483
2025-10-04T00:00:00,PETROL BPCL #365506,0.0,116.32,20398.32,SBIN237007,1029384756473483
2025-10-04T00:00:00,DOMINOS #149039,0.0,657.8,19740.52,SBIN723611,1029384756473483
